STD,Skew,kurtosis,PP,Sigma,Class
19.87,1.84,3.62,0.058731486,19.22,ice
4.5,4.52,24.58,0.127164523,25.33,ice
4.73,4.55,30.01,0.102291351,21.21,ice
10.5,2.74,8.47,0.109804585,22.86,ice
27.87,1.2,0.93,0.060123853,11.68,ice
2.84,5.98,41.56,0.199376331,22.9,ice
8.21,3.23,11.12,0.104613631,24.11,ice
0.51,15.38,237.03,0.459182601,39.18,ice
1.55,8,84.22,0.160324,22.6,ice
14.53,2.19,4.39,0.070959038,22.45,ice
2.56,6.33,45.78,0.182074541,20.57,ice
0.71,12.58,167.51,0.319971682,27,ice
1.52,8.48,76.3,0.379604958,29.85,ice
3.23,5.65,33.48,0.356499791,30.32,ice
1.02,10.25,115.9,0.310652781,29.59,ice
2.39,6.31,52.46,0.146353065,19.08,ice
13.25,2.35,5.98,0.088753069,20.92,ice
2.29,6.74,52.46,0.168590054,22,ice
16.11,2.03,3.86,0.077317581,19.58,ice
35.51,0.89,655.22,0.053368568,15.78,ice
22.13,1.56,1.92,0.042946566,14.26,ice
2.72,5.99,53.39,0.129247609,15.25,ice
10.46,2.76,8.01,0.043687903,19.75,ice
3.81,5.13,34.95,0.126094803,17.8,ice
5.33,4.15,22.19,0.111493142,23.74,ice
5.15,4.46,29.73,0.181460489,28.4,ice
14.13,2.24,5.7,0.093095968,20.98,ice
5.28,4.01,26.43,0.096749477,16.65,ice
13.73,2.27,5.26,0.046947062,19.57,ice
4.69,4.36,27.43,0.107621971,21.59,ice
18.66,1.89,3.18,0.05416429,20.91,ice
17.86,1.93,3.59,0.089168118,17.23,ice
2.05,6.71,61.64,0.097609909,23.55,ice
9.26,2.97,10.34,0.136508214,23.74,ice
15.49,2.18,4.84,0.065402168,14.21,ice
11.41,2.63,8.07,0.109226274,19.38,ice
0.54,14.59,218.44,0.400933585,39.53,ice
2.27,6.59,50.64,0.212588923,26.82,ice
20.66,1.69,2.29,0.043835475,15.17,ice
20.71,1.69,2.87,0.036789472,14.79,ice
0.58,14.14,209.85,0.352989653,28.63,ice
21.85,1.52,2.14,0.036223112,13.4,ice
8.39,3.21,11.69,0.142767824,22.78,ice
1.54,8.48,75.48,0.407822272,33.08,ice
36.43,0.85,654.84,0.032658893,14.32,ice
21.47,1.58,1.8,0.034012176,18.02,ice
12.02,2.44,7.36,0.064062648,19.9,ice
16.64,2.04,4.82,0.089299949,16.23,ice
2.21,6.87,53.06,0.181892616,24.82,ice
17.15,1.98,4.08,0.073459519,16.52,ice
0.89,11.28,132.57,0.341619925,26.33,ice
16.91,1.97,3.54,0.076095097,18.13,ice
1.05,9.99,113.53,0.265042748,28.57,ice
2.01,7.12,68.1,0.127812818,21.4,ice
14.6,2.27,5.8,0.183278286,16.58,ice
6.44,3.69,16.67,0.094854949,21.09,ice
6.28,3.65,21.13,0.109003541,19.39,ice
2.22,6.62,51.75,0.252200282,23.81,ice
4.75,4.28,30.9,0.088163124,15.03,ice
6.94,3.7,20.51,0.082974287,26.96,ice
17.25,1.89,3.58,0.052578079,13.23,ice
4.29,5,30.32,0.175983437,26.48,ice
18.33,1.96,4.55,0.046528089,14.96,ice
3.09,5.66,38.05,0.147247162,22.77,ice
20.07,1.71,2.33,0.084040887,19.1,ice
18.48,1.91,2.7,0.050267811,14.83,ice
14,2.37,7.48,0.088401211,17.26,ice
13.36,2.43,5.89,0.119538154,19.22,ice
1.29,9.21,92.99,0.196213162,26.26,ice
15.9,2.08,5.96,0.065138308,15.77,ice
11.25,2.59,8.03,0.160794859,25.46,ice
10.39,2.77,8.15,0.097988056,20.02,ice
11.37,2.6,7.54,0.091915606,16.95,ice
11.62,2.6,7.05,0.105764048,19.47,ice
10.49,2.84,8.66,0.042477136,14.95,ice
4.45,4.62,24.72,0.147590714,23.96,ice
1.44,8.36,80.9,0.248354347,20.86,ice
29.25,1.22,0.53,0.048742882,18,ice
16.21,2.08,5.29,0.080988096,18.69,ice
1.32,8.71,90.12,0.252413012,26.44,ice
7.55,3.35,15.2,0.106718711,17.44,ice
2.63,6.09,48.55,0.157190692,20.13,ice
22.76,1.52,2.91,0.043230175,13.62,ice
6.74,3.65,17.7,0.122653057,17.52,ice
10.46,2.87,10.94,0.058927517,18.12,ice
13.65,2.38,6.18,0.091033477,23.38,ice
8.51,3.19,13.86,0.080772886,19.21,ice
4.09,4.75,28.35,0.162507377,25.3,ice
10.47,2.73,9.57,0.07987018,13.85,ice
2.19,6.95,51.8,0.310788317,31.7,ice
2.05,6.9,65.22,0.123382528,16.33,ice
3.56,5.07,33.52,0.155002732,21.73,ice
10.64,2.69,8.91,0.090596289,20.93,ice
29.84,1.22,1.21,0.051888936,12.68,ice
25.4,1.32,0.99,0.054011754,16.15,ice
11.98,2.47,7.62,0.074920518,15.82,ice
0.79,11.78,152.57,0.345769097,29.13,ice
9.44,2.96,9.57,0.12085843,21.17,ice
10.22,2.97,11.24,0.116114458,15.88,ice
19.22,1.75,2.82,0.057810734,14.24,ice
15.93,2.04,4.05,0.060144324,21.1,ice
2.18,6.78,54.21,0.219882166,23.34,ice
1.31,9.2,88.19,0.407447014,37.06,ice
2.17,7.12,56.03,0.128184816,19.83,ice
3.01,5.69,37.42,0.324437118,30.48,ice
4.16,4.77,31.75,0.105070175,15.99,ice
22.47,1.54,2.46,0.035600247,19.43,ice
15.1,2.13,4.2,0.068214961,20.82,ice
7.06,3.63,16.57,0.133220174,17.79,ice
14.77,2.17,4.16,0.051525601,18.96,ice
1.53,8.16,77.31,0.222454175,24.24,ice
0.59,13.91,203.9,0.447093737,34.66,ice
16.33,1.99,4.42,0.066902145,15.9,ice
5.23,3.96,22.62,0.119374846,21.37,ice
0.96,10.69,125.96,0.238400984,25.25,ice
11.82,2.55,6.49,0.042505485,20.55,ice
27.66,1.22,0.34,0.044623919,15.56,ice
11.41,2.59,7.27,0.075193879,20.06,ice
18.37,1.92,3.17,0.082933441,22.64,ice
7.42,3.54,14.41,0.102732156,25.88,ice
1.19,9.46,100.17,0.338603426,24.8,ice
8.03,3.23,11.88,0.084603756,24.74,ice
16.44,2.12,5.13,0.081083589,21.15,ice
16.62,2.03,4.3,0.069567996,15.48,ice
11.59,2.55,8.77,0.068602851,18.26,ice
2.56,6.13,47.31,0.158243207,16.53,ice
9.24,2.9,11.19,0.082863078,23.54,ice
0.6,13.71,199.89,0.254798739,31.08,ice
15.78,2.06,4.84,0.06682976,17.08,ice
26.76,1.29,0.84,0.033018656,12.16,ice
15.8,2.2,4.33,0.055157409,15.25,ice
10.28,2.78,9.61,0.084083263,21.83,ice
9.02,3.1,9.6,0.094622945,17.49,ice
1.68,8.14,68.55,0.208363803,24.44,ice
4.44,4.59,35.52,0.152629887,19.45,ice
1.23,9.1,97.92,0.245118024,29.31,ice
9.61,2.98,11.02,0.105256311,22.93,ice
1.06,10.05,112.42,0.235998027,26.5,ice
8.87,3.07,11.47,0.058800729,20.66,ice
9.63,3.02,9.9,0.156313357,22.74,ice
12.12,2.45,6.62,0.082705277,21.63,ice
24.21,1.49,1.62,0.045690959,16.17,ice
2.83,6.01,42.41,0.182798758,21.16,ice
3.42,5.43,35.74,0.157638371,20.78,ice
3.13,5.45,36.52,0.137026257,24.2,ice
13.27,2.38,5.25,0.073631357,15.88,ice
16.03,2.09,7.86,0.037183147,15.06,ice
20.22,1.68,2.06,0.034162509,17.95,ice
2.75,6.02,51.58,0.164279823,16.93,ice
18.32,1.82,2.74,0.040651844,15.01,ice
2.99,5.85,43.21,0.121693515,24.34,ice
25.54,1.39,2.03,0.041533419,12.79,ice
0.76,12.07,158.24,0.399684083,31.36,ice
13.9,2.23,7.23,0.093473073,15.11,ice
0.54,14.74,221.91,0.383494549,36.44,ice
3.31,5.5,37.42,0.101766215,17.04,ice
8.76,3.05,10.55,0.089662815,23.49,ice
10.71,2.82,9.07,0.084024725,18.53,ice
8.43,3.05,14.81,0.045516011,19.34,ice
1.44,8.5,90.59,0.156017512,21.36,ice
12.04,2.49,6.47,0.088654977,24.48,ice
15.27,2.2,5.96,0.087761705,15.91,ice
4.01,4.88,28.67,0.135403732,24.84,ice
13.93,2.38,5.91,0.057376217,17.4,ice
20.69,1.59,2.16,0.051380697,15.84,ice
14.86,2.16,4.22,0.062660092,21.1,ice
29.13,1.12,0.27,0.037062696,12.45,ice
5.79,4.05,20.18,0.169586921,24.27,ice
3.3,5.59,37.69,0.185250095,21.37,ice
12.74,2.49,6.13,0.044127123,19.47,ice
24.46,1.48,2.03,0.071315476,16.83,ice
1.57,8.13,79.2,0.167779908,19.36,ice
33.72,0.92,0.55,0.042850193,10.95,ice
14.08,2.23,5.05,0.060443706,20.58,ice
16.37,2.04,7.06,0.09774472,13.55,ice
4.13,4.62,30.57,0.099932905,21.49,ice
8.81,3.18,13.29,0.068039465,19.42,ice
0.54,14.7,221.98,0.230153295,22.55,ice
1.34,9.05,87.41,0.187036583,21.74,ice
2.26,7,75.51,0.090106131,12.43,ice
12.44,2.5,7.18,0.078372211,20.85,ice
15,2.13,4.34,0.045917359,20.39,ice
7.39,3.44,15.5,0.126735396,20.44,ice
5.28,4.19,22.1,0.135896782,20.42,ice
8.57,3.12,11.11,0.096398107,18.28,ice
3,5.61,47.67,0.129845042,20.37,ice
19.03,1.73,4.1,0.052599559,16.27,ice
1,10.46,120.04,0.298824946,25.88,ice
5.65,4.04,18.85,0.145276599,24.74,ice
18.23,1.85,2.79,0.065021654,19.69,ice
25.09,1.38,1.04,0.047547324,12.78,ice
2.91,5.71,53.09,0.06520623,14.34,ice
13.82,2.33,5.17,0.060743887,23.11,ice
3.79,5,30.34,0.154039074,22.11,ice
12.59,2.41,8.43,0.098991431,18.94,ice
1.55,7.99,82.52,0.203653868,24.07,ice
4.34,4.48,30.15,0.140358956,22.84,ice
1.98,6.94,62.47,0.184026598,24.08,ice
2.53,6.16,47.86,0.190457231,22.98,ice
6.1,3.93,18.7,0.075798758,16.96,ice
0.96,10.39,133.59,0.142612484,19.98,ice
15.09,2.09,4.91,0.074183624,20.03,ice
26.61,1.27,0.52,0.055976747,12.8,ice
12.79,2.49,6.38,0.119306824,25.88,ice
2.21,6.61,57.05,0.226445019,26.1,ice
16.27,2.07,5.9,0.065050891,16.39,ice
23.21,1.5,1.56,0.053665439,17.28,ice
3.98,4.61,30.25,0.095243009,22.31,ice
22.64,1.55,1.43,0.061256594,14.11,ice
10.86,2.65,8.62,0.079358256,19.47,ice
15.31,2.02,6.41,0.214368425,21.87,ice
10.63,2.61,9.4,0.076450084,17.46,ice
31.75,1.09,0.64,0.034486533,17.38,ice
13.58,2.43,6.34,0.051624435,15.24,ice
9.69,2.9,10.3,0.114775344,20.86,ice
21.08,1.73,3.15,0.07114044,26.57,ice
8.36,3.19,11.78,0.073539891,20.45,ice
10.8,2.71,7.43,0.095660221,23.79,ice
6.49,3.57,16.74,0.100119927,22.71,ice
3.57,5.45,34.79,0.174300776,21.38,ice
9.71,2.84,10.38,0.045702813,18.63,ice
24.89,1.4,1.23,0.07496594,15.82,ice
28.31,1.24,0.57,0.037790369,15.58,ice
24.59,1.47,1.32,0.045784232,17.06,ice
8.52,3.22,10.7,0.05986085,17.89,ice
0.51,15.42,238.18,0.344402636,29.54,ice
24.72,1.47,2.47,0.062906514,14.77,ice
23.9,1.45,1.14,0.057988699,13.84,ice
1.32,8.85,90.86,0.244745451,27.43,ice
14.87,2.03,6.59,0.060511348,12.89,ice
7.42,3.41,13.06,0.100935504,24.07,ice
3.66,5.29,29.02,0.269713557,26.55,ice
9.46,3.04,10.5,0.119075955,18.63,ice
4.22,4.56,32.82,0.090075788,17.66,ice
3.79,5.32,39.07,0.067937755,17.63,ice
22.95,1.53,2.16,0.071113576,20.83,ice
4.73,4.37,24.52,0.120896778,19.35,ice
24.46,1.42,1.58,0.076746964,15.74,ice
4.08,4.86,31.61,0.121802306,16.86,ice
8.67,3.07,15.4,0.097738306,20.7,ice
24.36,1.44,1.38,0.053979901,18.65,ice
2.46,6.53,45.74,0.322470329,30.23,ice
4.34,4.36,29.39,0.073872302,20.54,ice
21.72,1.54,2.44,0.058896801,12.74,ice
3.66,5.26,33.89,0.197547499,16.81,ice
2.35,6.57,47.87,0.396413017,35.14,ice
28.52,1.24,0.75,0.048057392,17.73,ice
0.65,13.08,185.36,0.238759696,27.55,ice
11.92,2.6,7.09,0.110604421,17.97,ice
25.1,1.41,1.18,0.046759679,16.48,ice
1.35,8.81,85.6,0.369290327,35.31,ice
11.59,2.63,9.58,0.074452639,20.41,ice
15.09,2.14,5.8,0.07682965,20.75,ice
7.76,3.33,12.45,0.117904543,24.61,ice
13.77,2.38,6.32,0.089951658,22.61,ice
5.13,4.37,23.71,0.136827424,18.43,ice
0.55,14.61,219.48,0.281419486,22.05,ice
4.57,4.45,27.02,0.161124169,19.66,ice
12.94,2.4,6.56,0.093847736,20.96,ice
37.63,0.81,0.02,0.045322266,13.41,ice
12.39,2.41,6.39,0.091272975,18.89,ice
20.63,1.71,2.53,0.086818228,19.85,ice
1.31,9.05,90.22,0.415672967,36.59,ice
9.58,2.73,10.07,0.060106042,20.26,ice
22.85,1.5,1.53,0.040393687,18.75,ice
2.56,6.23,47.14,0.177832471,22.7,ice
2.11,6.57,60.9,0.126566999,25.29,ice
1.35,9.09,86.21,0.440681043,36.39,ice
1.52,8.16,80.37,0.223339649,23.37,ice
8.59,3.03,12.72,0.076982443,22.28,ice
3.91,5.01,31.21,0.171303327,20.43,ice
9.04,3.1,12.65,0.08639521,18.99,ice
30.11,1.13,1.05,0.031461169,16.81,ice
26.99,1.28,0.54,0.039613865,14.65,ice
28.56,1.14,0.36,0.046402472,13.87,ice
1.12,9.92,104.8,0.28088154,22.32,ice
9.5,2.93,10.51,0.125527941,17.97,ice
16.82,1.98,3.63,0.051844685,17.2,ice
10.76,2.68,8.24,0.059933112,18.4,ice
22.82,1.45,2.67,0.064014777,12.9,ice
1.5,8.61,76.71,0.320742158,28.59,ice
6.14,3.85,16.59,0.1585913,24.63,ice
1.67,7.81,75.88,0.189460081,25.66,ice
10.71,2.69,10.26,0.073650224,21.74,ice
3.32,5.41,34.55,0.165173756,21.86,ice
0.68,12.82,180.04,0.246983139,27.86,ice
1.39,8.98,84.27,0.283102005,28.28,ice
20.13,1.69,2.22,0.065411634,19.08,ice
9.46,2.87,15.16,0.058036149,16.77,ice
1.17,9.24,104.1,0.275972864,23.7,ice
4.23,4.78,31.89,0.090358456,22.6,ice
11.12,2.61,7.66,0.08621268,19.5,ice
4.46,4.46,24.92,0.155875385,25.12,ice
11.22,2.65,7.58,0.064768593,17.36,ice
3.72,4.99,31.36,0.141173201,24.29,ice
5.33,3.99,23.86,0.120465428,17.95,ice
4.01,4.91,34.36,0.107335537,18.84,ice
26.24,1.32,0.69,0.032652547,13.62,ice
4.38,4.83,30.46,0.115389288,15.96,ice
15.04,2.23,5.1,0.085797101,23.14,ice
2.96,5.98,37.89,0.224512588,21.11,ice
26.7,1.29,0.76,0.061083082,17.89,ice
1.71,7.94,67.94,0.235081212,27.09,ice
7.94,3.13,15.51,0.060814516,13.88,ice
23.76,1.38,2.86,0.057045143,12.62,ice
8.21,3.34,13.52,0.09118725,17.06,ice
9.93,2.66,10.78,0.068759043,17.96,ice
6.09,3.8,18.04,0.098544871,20.49,ice
19.08,1.79,2.9,0.064815547,14.89,ice
35.82,0.86,655.17,0.051365394,12.99,ice
7.09,3.39,15.71,0.116667616,23.31,ice
33.13,0.98,0.15,0.028836482,12.37,ice
7.27,3.42,23.57,0.073749599,12.76,ice
2.89,5.94,46.55,0.103365878,15.95,ice
6.11,3.96,19.18,0.129219066,18.45,ice
2.26,6.5,54.24,0.180475043,26.58,ice
9.15,3.13,12.87,0.063960422,15.79,ice
23.45,1.52,1,0.032942126,11.87,ice
1.93,7.32,62.92,0.223982364,19.37,ice
9.05,3.12,9.45,0.170239793,20.54,ice
26.76,1.29,0.84,0.033018656,12.16,ice
7.7,3.31,13.04,0.106061538,24.56,ice
2.01,7.33,56.67,0.408325389,29.84,ice
23.31,1.53,2.45,0.272206185,25.87,ice
14.86,2.14,5.69,0.059112701,16.53,ice
3.52,5.08,36.68,0.133867838,18.37,ice
22.33,1.48,1.97,0.052512945,18.44,ice
5.32,3.89,23.1,0.098378744,19.76,ice
22.3,1.53,1.26,0.031879357,17.76,ice
2.74,5.92,54.99,0.076130279,21.47,ice
8.68,3.19,12.35,0.152012804,20.69,ice
0.55,14.56,218.31,0.428717217,30.23,ice
11.39,2.55,8.53,0.0769838,17.33,ice
6.43,3.66,17.12,0.091373,23.12,ice
30.73,1.11,0.5,0.054096822,13.9,ice
6.55,3.74,16.06,0.127975301,24.96,ice
10.73,2.82,9,0.052952355,18.56,ice
8.92,3.11,10.01,0.148269902,22.01,ice
10.13,2.81,9.64,0.098674552,22.27,ice
5.1,4.42,21.21,0.220383498,22.04,ice
23.56,1.49,2.28,0.059449349,18.57,ice
22.04,1.57,1.75,0.082260026,16.72,ice
1.62,7.93,77.71,0.176722325,21.55,ice
16.38,2.07,4,0.09257912,16.43,ice
0.58,13.93,204.53,0.395683019,30.64,ice
8.23,3.12,14.14,0.086714839,20.98,ice
15.91,2.02,6.15,0.057081215,15.84,ice
3.17,5.47,39.26,0.195132336,24.12,ice
8.09,3.21,15.38,0.077474063,22.18,ice
3.54,5.28,32.07,0.162890293,24.36,ice
5.86,3.93,19.1,0.121076581,19.77,ice
0.62,13.49,196.21,0.250013352,22.49,ice
4.77,4.29,25.01,0.138561757,14.78,ice
14.72,2.23,6.48,0.075647479,21.07,ice
38.72,0.76,655.2,0.052494101,12.56,ice
29.65,1.16,1.12,0.049457988,16.05,ice
4,4.58,31.52,0.112332684,24.69,ice
1.04,9.84,119.95,0.339740898,30.35,ice
8.81,3.19,12.02,0.105960019,23.46,ice
7.19,3.38,14.42,0.110770807,24.15,ice
2,7.17,59.04,0.200359537,25.63,ice
17.11,2,3.87,0.080173964,18.56,ice
0.57,14.11,208.62,0.389128047,34.85,ice
14.98,2.15,5.26,0.06863928,16.41,ice
4.42,4.7,30.22,0.088247176,15.89,ice
11.65,2.68,7.74,0.066602234,13.34,ice
1.51,8.54,76.23,0.372592942,27.83,ice
3.58,5.24,30.7,0.309120068,29.93,ice
2.41,6.03,52.8,0.147601351,22.83,ice
18.04,1.89,3.72,0.091943331,21.76,ice
6.56,3.62,25.4,0.107519561,14.54,ice
5.32,4.35,24.1,0.136330447,17.3,ice
15.64,2.17,5.91,0.064261907,16.09,ice
4.71,4.39,24.22,0.168374347,25.49,ice
5.47,4.02,21.1,0.108608286,18.01,ice
8.99,2.94,11.13,0.082883095,18.83,ice
7.22,3.32,15.54,0.056938237,18.89,ice
2.77,5.89,41.84,0.256000094,26.86,ice
1.96,7.36,59.52,0.179741968,20.07,ice
7.39,3.49,16.14,0.083975305,18.79,ice
21.91,1.56,1.62,0.047239446,17.02,ice
20.61,1.7,1.77,0.048076077,17.56,ice
1.38,8.87,87.35,0.167558128,16.08,ice
14.77,2.14,4.63,0.048428968,21.08,ice
8.23,3.31,12.9,0.132182181,24.36,ice
6.2,3.77,16.91,0.069641701,21.77,ice
3.65,5.18,31.35,0.197341082,25.33,ice
10.23,2.71,8.96,0.090372162,23.8,ice
25.6,1.4,1.92,0.042915406,14.54,ice
14.22,2.15,5.16,0.05520922,19.2,ice
8.77,3.09,12.53,0.071290108,21.41,ice
2.33,6.5,52.46,0.219207728,26.4,ice
19.16,1.8,2.65,0.046633308,16.46,ice
1.42,8.89,87.4,0.158830373,19.07,ice
17.71,1.89,3.32,0.062666384,21.98,ice
2.54,6.03,49.4,0.13528801,20.59,ice
1.72,7.87,70.16,0.244978749,20.49,ice
5.55,4.11,19.6,0.13748188,21.36,ice
3.49,5.23,36.57,0.12576643,20.16,ice
22.91,1.6,1.75,0.047786898,15.69,ice
0.74,12.1,163.35,0.453676975,32.21,ice
17.68,1.96,3.67,0.075665472,18.91,ice
22.17,1.52,1.86,0.048536715,16.68,ice
5.49,3.87,20.69,0.099243427,19.09,ice
8.12,3.4,18,0.096311689,15.62,ice
26.29,1.29,0.77,0.036035268,12.07,ice
4.67,4.66,29.46,0.163756441,25.87,ice
9.38,2.94,14.9,0.110523653,14.98,ice
0.74,12.19,160.98,0.460101379,41.25,ice
2.11,7.09,55.15,0.210933049,23.22,ice
20.31,1.69,2.28,0.070778788,17.03,ice
11.44,2.56,8.82,0.065437563,16.22,ice
2.4,6.2,53.87,0.152985118,23.97,ice
12.43,2.48,6.31,0.060986902,16.34,ice
10.74,2.82,9.17,0.10032961,25.23,ice
3.29,5.37,37.79,0.177153701,23.6,ice
2.72,6.35,54.68,0.11034463,13.96,ice
9.58,2.74,11.26,0.080146706,20.65,ice
8.52,3.09,11.29,0.07539709,21.93,ice
12.2,2.49,7.4,0.083108342,22.71,ice
14.66,2.17,5.05,0.081866662,20.43,ice
18.49,1.87,3.6,0.035702903,16.8,ice
2.32,6.52,54.48,0.198390715,25.64,ice
6.62,3.8,15.55,0.155431382,20.15,ice
3.56,5.32,30.58,0.273885297,25.28,ice
11.44,2.69,9.27,0.091227616,19.89,ice
13.57,2.24,6.6,0.068783363,18.53,ice
16.8,2.07,5.7,0.050368841,16.02,ice
1.71,7.44,70.58,0.186805199,25.98,ice
3.5,5.08,34.93,0.151107801,22.65,ice
6.94,3.48,14.97,0.142413212,20.18,ice
0.9,10.86,132.39,0.192484485,25.23,ice
2.55,6.19,53.25,0.12778665,24.97,ice
26.26,1.34,0.72,0.058089804,14.54,ice
28.92,1.18,0.23,0.043143544,12.44,ice
1.14,9.35,112.72,0.110018231,22.33,ice
3.68,5.13,36.69,0.125023608,18.1,ice
21.82,1.55,1.95,0.065739911,18.09,ice
5.15,4.22,23.21,0.094488836,19.12,ice
7.39,3.36,14.92,0.113195131,19.24,ice
5.04,4.15,23.22,0.141037091,21.43,ice
6.76,3.51,16.39,0.095617791,22.12,ice
17.3,1.95,4.69,0.081927045,20.17,ice
15.51,2.15,4.59,0.056898344,18.04,ice
2,7,67.81,0.137011647,16.75,ice
12.46,2.5,8.59,0.086167678,17.22,ice
3.96,4.82,28.56,0.201878469,26.07,ice
10.33,2.76,14.28,0.072479155,13.39,ice
14.99,2.08,4.52,0.051170955,18.92,ice
25.95,1.4,0.9,0.027582059,17.63,ice
1.21,9.14,104.13,0.207235126,25.15,ice
2.55,6.3,48.94,0.183713459,18.52,ice
12.28,2.36,7.43,0.05536374,16.2,ice
14.35,2.2,5.72,0.074020821,18.87,ice
8.53,3.24,11.96,0.096415977,22.11,ice
7.06,3.51,15.5,0.10014915,23.95,ice
3.08,5.68,38.01,0.196721459,27.91,ice
16.9,2.04,3.68,0.084990299,13.82,ice
5.67,4.1,18.7,0.133645346,20.65,ice
1.59,8.25,88.91,0.193817708,21.78,ice
0.65,13.05,183.41,0.349449178,32.1,ice
15.54,2.14,5.64,0.074709217,18.49,ice
1.15,9.53,104.16,0.297442903,28.42,ice
3.14,5.5,37.94,0.171887417,22.96,ice
10.93,2.84,8.59,0.073292006,17.18,ice
1.23,9.46,97.18,0.261496718,20.69,ice
7.95,3.33,17.69,0.079546475,16.25,ice
9.89,2.86,9.2,0.084459503,19.72,ice
18.49,1.79,2.74,0.063512323,20.18,ice
1.19,9.51,97.88,0.358936582,36.26,ice
2.81,6.03,48.35,0.112640833,16.42,ice
26.99,1.33,1.2,0.082134353,16.75,ice
5.46,4.23,20.75,0.117678641,20.61,ice
23.21,1.55,1.5,0.039739328,15.35,ice
20.81,1.71,2.39,0.054195063,18.99,ice
0.79,11.94,150.14,0.348138586,31.57,ice
5.56,4.01,20.19,0.150008927,25.38,ice
9.34,2.92,10.35,0.115267313,21.77,ice
1.11,9.8,108.22,0.288253457,24.39,ice
1.18,9.39,102.74,0.20734987,20.73,ice
10.42,2.8,8.81,0.109491612,25.96,ice
1.49,8.14,84.25,0.22478828,19.81,ice
1.41,8.72,85.16,0.203116719,20.53,ice
40.26,0.66,654.78,0.041568826,12.18,ice
2.56,6.47,45.7,0.197618983,22.29,ice
15.34,2.11,4.38,0.045213047,17.67,ice
11.6,2.59,8.71,0.080871165,21.77,ice
17.68,1.96,4.02,0.110217323,15.39,ice
21.02,1.73,2.78,0.032971229,18.74,ice
1.86,7.5,68.02,0.211216538,26.16,ice
8.25,3.09,11.91,0.100624151,21.97,ice
5.9,3.79,18.23,0.145368117,25.21,ice
0.57,14.27,212.49,0.19606054,23.32,ice
20.39,1.71,2.92,0.051491554,15.51,ice
7.23,3.59,16.74,0.130728537,17.94,ice
7.02,3.5,18.44,0.071172116,18.8,ice
21.4,1.6,2.08,0.064470591,18.61,ice
1.43,8.73,82.68,0.277996946,22.79,ice
1.94,7.46,58.57,0.266543295,27.95,ice
1.52,8.38,78.3,0.219732505,25.41,ice
12.24,2.45,7.69,0.083551876,14.96,ice
7.81,3.27,17.06,0.094842595,17.09,ice
1.99,7.32,56.59,0.358722426,34.3,ice
5.81,3.99,22.32,0.204933284,24.57,ice
7.76,3.37,16.73,0.140270331,16.97,ice
7.01,3.59,14.56,0.127103112,22.19,ice
22.48,1.62,2.25,0.059305116,15.63,ice
31.94,1.06,1.08,0.050034891,13.23,ice
15.54,2.01,4.36,0.05567364,17.51,ice
13.29,2.37,7.71,0.076548938,13.18,ice
2.62,6.21,45.08,0.170014113,24.08,ice
5.52,3.9,23.46,0.084749489,20.95,ice
16.96,1.99,4.76,0.082134661,16.99,ice
3.04,6.29,63.58,0.082441947,14.09,ice
3.47,5.26,34.11,0.143075462,22.95,ice
1.73,7.94,68.47,0.24013851,24.78,ice
9.25,3.07,11.19,0.105658157,18.15,ice
17.38,1.89,3.26,0.056529071,20.67,ice
36.54,0.83,654.94,0.042087045,12.5,ice
6.25,3.9,21.66,0.133318551,16.65,ice
1.21,9.48,98.38,0.329344778,30.36,ice
19.16,1.73,2.68,0.097931389,20.29,ice
3.29,5.38,38.91,0.11882206,19.89,ice
12.61,2.38,7.34,0.043330043,18.69,ice
3.26,5.36,37.03,0.215544461,22.14,ice
3.26,5.59,34.21,0.204155063,21.42,ice
14.75,2.11,5.04,0.04566918,20.49,ice
32.12,0.99,655.32,0.042576732,13.06,ice
13.14,2.48,7.8,0.101051921,21.51,ice
1.24,9.24,97.1,0.257929558,27.36,ice
4.04,4.78,33.68,0.109474785,19.17,ice
3.28,5.39,42.85,0.113841659,19.37,ice
22.31,1.55,1.32,0.06425441,14,ice
4.97,4.42,26.59,0.080085395,19.8,ice
6.91,3.31,17.63,0.084904524,21.62,ice
27.5,1.23,0.89,0.046159015,15.44,ice
1.28,9.1,94.79,0.196805939,20.83,ice
1.99,7.24,59.77,0.274645143,31.11,ice
1.85,7.51,67.35,0.209891331,25.67,ice
2.91,5.69,44.86,0.122817867,23.06,ice
6.73,3.5,16.5,0.076622148,23.81,ice
17.56,1.9,2.93,0.058781742,21.3,ice
6.42,3.72,20.12,0.109570696,16.45,ice
16.75,1.98,4.56,0.083343295,19.87,ice
3.76,5.22,28.03,0.292530398,28.76,ice
18.78,1.83,3.3,0.048443825,18.59,ice
17.33,1.88,3.41,0.05404739,19.36,ice
4.16,4.7,26.43,0.298187262,24.96,ice
2.19,7.1,55.6,0.227563145,19.7,ice
13.85,2.28,4.97,0.085773968,25.31,ice
0.56,14.42,214.75,0.449615115,35.87,ice
19.72,1.71,2.86,0.078639861,20.51,ice
1.18,9.53,101.67,0.248020679,28.6,ice
25.05,1.43,1.24,0.069056393,20.2,ice
2.53,6.29,44.64,0.405422961,31.38,ice
9.96,2.88,8.27,0.095518703,22.08,ice
1.04,10,124.09,0.210728216,27.33,ice
19.88,1.76,2.61,0.039913103,14.57,ice
7.29,3.4,18.89,0.080352676,16.52,ice
3.96,4.84,28.48,0.134384183,23.44,ice
