STD,Skew,kurtosis,PP,Sigma,Class
0.9,11.07,131.7,0.425386213,46.37,lead
0.9,10.95,131.59,0.419120892,44.55,lead
0.9,10.89,130.28,0.409785837,36.81,lead
0.95,10.81,130.08,0.194588287,30.14,lead
0.91,11.06,130.03,0.376978078,39.74,lead
0.94,10.96,128.4,0.26914863,20.1,lead
0.92,10.95,128.39,0.424218689,41.02,lead
0.93,10.61,128.35,0.451669596,44.71,lead
0.93,11.09,128,0.312382323,25.18,lead
0.93,10.75,127.27,0.47159696,44.43,lead
0.94,10.52,127.21,0.422351402,42.29,lead
0.95,10.52,126.69,0.30686639,30.08,lead
0.96,10.41,126.66,0.308036155,30.12,lead
0.95,10.59,126.63,0.33781102,32.55,lead
0.77,10.98,126.51,0.43275993,38.59,lead
0.99,10.16,126.3,0.373742501,37.27,lead
0.95,10.69,126.01,0.340770823,29.98,lead
0.94,10.28,125.77,0.259583621,29.49,lead
0.99,10.79,125.77,0.391688681,38.23,lead
0.96,10.57,124.67,0.279744906,33.27,lead
0.96,10.56,124.12,0.323805524,35.94,lead
0.98,10.6,123.85,0.407946665,37.2,lead
1.11,10.19,123.28,0.408350832,40.87,lead
0.95,10.63,122,0.391326156,33.31,lead
0.99,10.3,122,0.451747432,37.07,lead
0.98,10.63,121.85,0.326740522,28.29,lead
0.97,10.68,121.83,0.44937464,42.23,lead
0.99,10.59,121.34,0.308642557,23.49,lead
0.99,10.48,121.26,0.381274581,26.74,lead
0.99,10.26,120.96,0.383651702,35.97,lead
0.98,10.37,120.88,0.250740341,30.22,lead
0.99,10.81,120.42,0.447478389,39.28,lead
0.99,10.82,119.83,0.412572004,38.58,lead
1.01,10.1,119.48,0.376982415,39.38,lead
0.97,10.43,119.47,0.341066996,32.36,lead
1,10.79,119.21,0.402563977,35.46,lead
0.83,10.55,119.14,0.454060458,38.62,lead
0.99,10.2,118.72,0.454406778,44.93,lead
1.02,10.1,117.82,0.377997854,30.56,lead
1.02,10.11,117.8,0.42246303,42.55,lead
1.01,10.28,117.52,0.402070015,35.65,lead
1.01,10.6,117.35,0.402598599,35.43,lead
1.01,10.1,117.22,0.390384398,45.56,lead
1.02,10.63,115.93,0.437611849,38.23,lead
1.02,10.46,115.64,0.431867306,41.52,lead
1.15,9.6,115.55,0.194853848,27.74,lead
1.04,9.92,115.4,0.355151279,33.83,lead
1.04,10.41,114.34,0.389354611,35.4,lead
1.05,10.04,114.31,0.357174001,30.73,lead
1.22,9.48,114.14,0.150626086,30.17,lead
1.03,9.92,114.03,0.314028875,30.04,lead
1.17,9.47,113.72,0.341746408,35.21,lead
1.04,9.74,113.57,0.378670565,31.12,lead
1.05,10.63,113.17,0.420295525,47.61,lead
1.02,10.41,112.8,0.394292728,42.05,lead
1.03,10.25,112.7,0.296917333,30.87,lead
1.06,9.94,111.97,0.304376501,31.59,lead
1.06,10.12,111.38,0.393743128,39.43,lead
1.07,10.21,111.25,0.322210313,31.15,lead
1.12,9.72,111.19,0.416045049,41.88,lead
1.08,9.75,110.38,0.390817416,35.91,lead
1.11,9.99,110.29,0.124966868,24.14,lead
1.1,9.94,108.97,0.28081775,26.87,lead
1.09,9.76,108.31,0.437603082,38.11,lead
1.12,9.68,108.31,0.419228137,45.33,lead
1.09,10.14,108.17,0.360661061,31.62,lead
1.1,9.81,107.99,0.36995117,35.67,lead
1.11,9.81,107.97,0.306717026,30.79,lead
1.08,10.07,107.96,0.277591874,30.5,lead
1.16,9.65,107.91,0.369713244,35.63,lead
1.1,9.53,107.82,0.455056765,37.11,lead
1.16,9.71,107.76,0.156615565,17.46,lead
1.12,9.8,107.54,0.243318804,29.14,lead
1.11,9.81,107.54,0.388897131,38.37,lead
1.08,10.13,107.37,0.366041656,35.05,lead
1.13,9.48,107.2,0.428243766,38.52,lead
1.11,10.06,107.01,0.453884352,39.16,lead
1.16,9.55,106.68,0.244875311,24.42,lead
1.14,9.53,106.36,0.226891105,31.34,lead
1.1,10.2,106.12,0.373648741,40.69,lead
1.09,9.64,105.67,0.47030076,41.15,lead
1.16,9.53,105.14,0.151529515,23.43,lead
1.2,9.41,105.12,0.269247045,29.33,lead
1.12,10.1,105.06,0.43884261,39.81,lead
1.11,9.7,104.59,0.461527085,44.92,lead
1.15,9.68,104.57,0.2270554,30.5,lead
1.17,9.71,104.57,0.188621953,27.12,lead
1.22,8.99,104.45,0.404634449,37.11,lead
1.13,9.87,104.41,0.358848138,32.25,lead
1.13,9.74,104.13,0.418358358,38.33,lead
1.2,9.31,103.14,0.45137717,38.23,lead
1.2,9.02,102.76,0.421417134,38.16,lead
1.15,9.87,102.22,0.47507376,43.51,lead
1.16,9.55,101.78,0.430632856,43.61,lead
1.26,9.09,101.37,0.154620203,17.54,lead
1.15,9.51,101.16,0.349953009,34.09,lead
1.17,9.54,101.01,0.363937758,30.91,lead
1.19,9.61,99.32,0.38037611,33.94,lead
1.16,9.63,99.18,0.45874867,41.28,lead
1.2,9.7,98.3,0.3849701,39.15,lead
1.21,9.54,98.02,0.388268123,33.36,lead
1.21,9.67,97.84,0.402306965,34.06,lead
1.21,9.17,97.63,0.451946816,36.92,lead
1.2,9.39,97.01,0.441815939,41.6,lead
1.19,9.58,96.62,0.395053319,40.5,lead
1.25,9,96.38,0.343300314,32.99,lead
1.29,9.04,95.65,0.308186807,28.53,lead
1.23,9.42,95.4,0.387112208,34.37,lead
1.24,8.91,95.34,0.301321428,29.77,lead
1.21,9.42,95.16,0.39413622,40.08,lead
1.25,8.89,94.62,0.410417149,36.39,lead
1.28,9.31,93.85,0.432731355,38.75,lead
1.26,9.43,93.82,0.383997891,34.64,lead
1.27,8.98,93.78,0.147368019,28.8,lead
1.32,8.61,93.38,0.210758712,29.93,lead
1.26,9.46,93.26,0.409171792,37.5,lead
1.27,9.32,93.2,0.302572105,31.15,lead
1.26,9.43,92.9,0.449396211,43.41,lead
1.28,9.03,92.5,0.405104684,35.36,lead
1.26,9.28,92.41,0.325455394,34.32,lead
1.34,8.81,92.32,0.373174273,37.03,lead
1.29,9.09,91.92,0.29976809,29.95,lead
1.31,8.72,91.91,0.243333259,26.31,lead
1.29,9.14,91.88,0.331036677,27.52,lead
1.27,9.05,91.8,0.418861051,40.87,lead
1.33,9.22,91.68,0.345288148,34.91,lead
1.64,8.09,91.31,0.394917624,33.91,lead
1.29,8.94,91.22,0.353494218,41.96,lead
1.41,8.44,91.21,0.363267998,36.57,lead
1.32,9.12,91.03,0.379629147,39.27,lead
1.28,9.07,90.7,0.466953102,43.93,lead
1.08,8.91,90.48,0.396130272,45.32,lead
1.07,9.01,90.25,0.456931894,44.31,lead
1.49,8.84,90.04,0.40484692,36.08,lead
1.29,9.22,89.89,0.403592829,42.36,lead
1.3,9.23,89.71,0.339806077,38.72,lead
1.36,8.83,89.69,0.318593492,30.7,lead
1.28,9.16,89.35,0.356193644,34.23,lead
1.47,8.12,89.27,0.350743393,31.92,lead
1.3,9.27,88.92,0.393982205,43.58,lead
1.32,9.3,88.13,0.376231428,40.68,lead
1.14,8.71,87.61,0.399318779,44.98,lead
1.32,9.02,87.5,0.466610656,41.36,lead
1.34,9.2,87.27,0.4369,37.96,lead
1.34,8.98,87.24,0.403717142,41.48,lead
1.47,8.4,87.12,0.297519873,25.34,lead
1.35,8.63,86.85,0.272073965,29.43,lead
1.35,8.86,86.54,0.387398251,34.85,lead
1.55,8.07,86.32,0.418371711,37.18,lead
1.34,8.92,86.3,0.364526841,36.83,lead
1.36,9.02,86.27,0.39522724,35.39,lead
1.36,9.17,86.2,0.436013439,38.61,lead
1.35,9.21,86.16,0.429779978,39.32,lead
1.36,8.78,85.84,0.442194543,43.59,lead
1.36,8.43,85.82,0.260929288,29.42,lead
1.36,8.95,85.56,0.398531996,44.11,lead
1.34,8.99,85.49,0.40076686,42.13,lead
1.4,8.68,84.06,0.335930492,30.44,lead
1.4,8.74,83.99,0.415839134,37.31,lead
1.36,8.89,83.9,0.462556465,41.8,lead
1.57,8.08,83.77,0.111697232,22.67,lead
1.39,9.08,83.72,0.387732885,31.13,lead
1.44,8.4,83.64,0.115476514,26.75,lead
1.45,8.5,83.4,0.381925625,36.92,lead
1.39,8.96,83.38,0.401510835,34.95,lead
1.41,8.53,83.32,0.410741258,30.41,lead
1.42,8.54,82.87,0.386571029,35.91,lead
1.54,8.07,82.43,0.393932472,32.32,lead
1.38,8.96,82.21,0.382988049,35.92,lead
1.47,8.69,81.86,0.201429849,21.33,lead
1.47,8.67,81.83,0.42495315,34.7,lead
1.4,8.74,81.59,0.39769038,34.05,lead
1.48,8.44,81.53,0.199630804,24.31,lead
1.91,7.48,81.5,0.404339859,32.14,lead
1.44,8.3,81.4,0.382683897,33.69,lead
1.47,8.6,81.21,0.457448591,45.45,lead
